clause_id,variant_book,similarity,base_text,variant_text,notable_differences
SHL_SONGBEN_0025,傷寒雜病論_桂本,0.706,服桂枝湯，大汗出，脈洪大者，與桂枝湯，如前法。若形似瘧，一日再發者，汗出必解，宜桂枝二麻黃一湯。,"6.26
太陽病，服桂枝湯後，大汗出，脈洪大者，與白虎湯；若形似瘧，一日再發者，宜桂枝二麻黃一湯。","宋本獨有用字：前如必法解；傷寒雜病論_桂本獨有用字：
.26太後病白虎陽；"
SHL_SONGBEN_0026,傷寒雜病論_桂本,0.776,服桂枝湯，大汗出後，大煩渴不解，脈洪大者，白虎加人參湯主之。,"6.27
太陽病，服桂枝湯後，大汗出，大煩渴，脈洪大者，白虎加人參湯主之。","宋本獨有用字：不解；傷寒雜病論_桂本獨有用字：
.267太病陽"
SHL_SONGBEN_0027,傷寒雜病論_桂本,0.862,太陽病，發熱惡寒，熱多寒少，脈微弱者，此無陽也，不可發汗，宜桂枝二越婢一湯。,"6.28
太陽病，發熱惡寒，熱多寒少。若脈微弱者，此無陽也，不可發汗；脈浮大者，宜桂枝二越婢一湯。","傷寒雜病論_桂本獨有用字：
.268大浮若；"
SHL_SONGBEN_0028,傷寒雜病論_桂本,0.962,服桂枝湯，或下之，仍頭項強痛，翕翕發熱，無汗，心下滿微痛，小便不利者，桂枝去桂加茯苓白朮湯主之。,"6.29
太陽病，服桂枝湯，或下之，仍頭項強痛，翕翕發熱，無汗，心下滿，微痛，小便不利者，桂枝去桂加茯苓白朮湯主之。","傷寒雜病論_桂本獨有用字：
.269太病陽"
SHL_SONGBEN_0029,傷寒雜病論_桂本,0.964,傷寒，脈浮，自汗出，小便數，心煩，微惡寒，腳攣急，反與桂枝欲攻其表，此誤也。得之便厥，咽中乾，煩躁吐逆者，作甘草乾薑湯與之，以復其陽。若厥愈足溫者，更作芍藥甘草,"6.30
傷寒脈浮，自汗出，小便數，心煩，微惡寒，腳攣急，反與桂枝湯欲攻其表，此誤也。得之便厥、咽中乾、煩躁、吐逆者，作甘草乾薑湯與之，以復其陽；若厥愈、足溫者","宋本獨有用字：譫；傷寒雜病論_桂本獨有用字：
.036、讝；"
SHL_SONGBEN_0031,傷寒雜病論_桂本,0.727,太陽病，項背強几几，無汗惡風，葛根湯主之。,"7.1
太陽病，項背強儿儿，無汗、惡風者，葛根湯主之。","宋本獨有用字：几；傷寒雜病論_桂本獨有用字：
.17、儿者"
SHL_SONGBEN_0032,傷寒雜病論_桂本,0.744,太陽與陽明合病者，必自下利，葛根湯主之。,"7.2
太陽與陽明合病者，必自下利，葛根湯主之；若不下利，但嘔者，葛根加半夏湯主之。","傷寒雜病論_桂本獨有用字：
.27不但加半嘔夏若；"
SHL_SONGBEN_0033,傷寒雜病論_桂本,0.809,太陽與陽明合病，不下利，但嘔者，葛根加半夏湯主之。,"7.2
太陽與陽明合病者，必自下利，葛根湯主之；若不下利，但嘔者，葛根加半夏湯主之。","傷寒雜病論_桂本獨有用字：
.27必自若；"
SHL_SONGBEN_0034,傷寒雜病論_桂本,0.857,太陽病，桂枝證，醫反下之，利遂不止。脈促者，表未解也。喘而汗出者，葛根黃芩黃連湯主之。,"7.3
太陽病桂枝證，醫反下之，利遂不止，脈促者，熱未解也；喘而汗出者，葛根黃連黃芩甘草湯主之。","宋本獨有用字：表；傷寒雜病論_桂本獨有用字：
.37熱甘草；"
SHL_SONGBEN_0035,傷寒雜病論_桂本,0.894,太陽病，頭痛，發熱，身疼，腰痛，骨節疼痛，惡風，無汗而喘者，麻黃湯主之。,"7.4
太陽病，頭痛，發熱，身疼，腰痛，骨節疼痛，惡風，無汗而喘者，","宋本獨有用字：。主之湯麻黃；傷寒雜病論_桂本獨有用字：
.47"
SHL_SONGBEN_0036,傷寒雜病論_桂本,0.85,太陽與陽明合病，喘而胸滿者，不可下，宜麻黃湯。,"7.5
太陽與陽明合病，喘而胸滿者，不可下也，宜麻黃湯。（方見上）","傷寒雜病論_桂本獨有用字：
.57上也方見（）"
SHL_SONGBEN_0037,傷寒雜病論_桂本,0.932,太陽病，十日已去，脈浮細而嗜臥者，外已解也。設胸滿脇痛者，與小柴胡湯；脈但浮者，與麻黃湯。,"7.6
太陽病，十日已去，脈浮細而嗜臥者，外已解也。設胸滿、脇痛，與小柴胡湯；脈但浮者，與麻黃湯（方見上）。","傷寒雜病論_桂本獨有用字：
.67、上方見（）"
SHL_SONGBEN_0039,傷寒雜病論_桂本,0.731,傷寒脈浮緩，身不疼，但重，乍有輕時，無少陰證者，大青龍湯發之。,"7.8
太陽中風，脈笍，身不疼，但重，乍有輕時，無少陰證者，大青龍湯發之。（方見上）","宋本獨有用字：傷寒浮緩；傷寒雜病論_桂本獨有用字：
.78上中太方笍見陽風（）"
